pay_date,ex_dividend_date,record_date,declaration_date,cash_amount,currency,frequency,distribution_type,historical_adjustment_factor,split_adjusted_cash_amount,ticker,id
2011-04-29,2011-03-18,2011-03-22,,0.07687,USD,4,unknown,0.875795,0.07687,QQQ,Ef48d9ed4667fa990600b01e53ea148fece24422762af0f153a8a3077091fdb1b
2011-07-29,2011-06-17,2011-06-21,,0.12079,USD,4,unknown,0.875795,0.12079,QQQ,E3500ea1c4a026f5fb6071aee1e2ff1bdcc8dba3c4318eae61f66454b649c53e6
2011-10-31,2011-09-16,2011-09-20,,0.10434,USD,4,unknown,0.877756,0.10434,QQQ,Ead3995fd0427bc2ea42005e3fd9b0fbcc112e54e5a7404af99417b21da3966c6
2011-12-30,2011-12-16,2011-12-20,,0.16052,USD,4,unknown,0.879389,0.16052,QQQ,Ee98623b68b66d13f8d15e2e80a0c3b547e0e15a830ce12a4cadc110460a97260
2012-04-30,2012-03-16,2012-03-20,,0.11283,USD,4,unknown,0.881976,0.11283,QQQ,E1741616193a5c6f82e953fd314137476b140e02e782f22ed64440a0edca2eb11
2012-07-31,2012-06-15,2012-06-19,,0.14312,USD,4,unknown,0.88347,0.14312,QQQ,E622cb0f27af6ea22ce96c435425d6c6dd9d2781d9d703375ed00ce2cdb8ba949
2012-10-31,2012-09-21,2012-09-25,,0.2002,USD,4,recurring,0.885503,0.2002,QQQ,E08aeca0884b852327df94530409b1c6b7fb1befdaaf58e8fad39a92ac07de2d3
2012-12-31,2012-12-21,2012-12-26,,0.36663,USD,4,recurring,0.888031,0.36663,QQQ,E9c3bc7e06b2d133e18e9df06c9b6bab75fc497c42d49da4d169dca255def1e90
2013-04-30,2013-03-15,2013-03-19,,0.15931,USD,4,recurring,0.892972,0.15931,QQQ,E323cdb5d64740c3ad298660dc3ec70de98784d4d82369492472cb261d18eba3e
2013-07-31,2013-06-21,2013-06-25,,0.22361,USD,4,recurring,0.895042,0.22361,QQQ,Ecdf2b4543f2565f2d37b18cb088acc2a73f91729318998c94621c7d00b40a9af
2013-10-31,2013-09-20,2013-09-24,,0.23771,USD,4,recurring,0.897869,0.23771,QQQ,Ebb7dc456ca50171d0f9b96c88275b2378be4cc55dad9c63fa3d30595545f3d69
2013-12-31,2013-12-20,2013-12-24,,0.27241,USD,4,recurring,0.900562,0.27241,QQQ,Ed3bef552ca80bb780af453076bdbd0bdb0321a95db16e84ca4525a2eeb493a0c
2014-03-07,2014-02-27,2014-03-03,,0.37313,USD,0,special,0.903427,0.37313,QQQ,E8a072acd8f419c2ba9b366a093cd869232249c5866ae1b7c21ab81363f90f5ba
2014-04-30,2014-03-21,2014-03-25,,0.20606,USD,4,recurring,0.907178,0.20606,QQQ,E69c34f93ea4ac21c0943e42057aa05e25b7b047b4c3b493d9f1dcf2241c3903e
2014-07-31,2014-06-20,2014-06-24,,0.2491,USD,4,recurring,0.909253,0.2491,QQQ,E52dd9e0e8f47181d2a9de25cb402c2d513e061893c0ed097b178d0d258c7455c
2014-10-31,2014-09-19,2014-09-23,,0.2378,USD,4,recurring,0.911698,0.2378,QQQ,Ee2c6c24e3c614797d68b1d4fb29b6986c42b20e7873a53f34fec3a773235478c
2014-12-31,2014-12-19,2014-12-23,,0.38681,USD,4,recurring,0.913865,0.38681,QQQ,E82b353ad59981c93773363443d4a1ea12486b5c0bb6e5ee1619d823ff5e75c9a
2015-04-30,2015-03-20,2015-03-24,,0.24806,USD,4,recurring,0.917268,0.24806,QQQ,E17419102003004077cc52161d863874d068e1aee7548c92442280805cddbbd51
2015-07-31,2015-06-19,2015-06-23,2015-06-18,0.25416,USD,4,recurring,0.919378,0.25416,QQQ,E461371029c3202f0e2fdca8704e83910da6073639083f29a4c5d59b1cd63d82c
2015-10-30,2015-09-18,2015-09-22,2015-09-17,0.26002,USD,4,recurring,0.921494,0.26002,QQQ,Ede04bdb15d2999a93540a1779fecc48bbab21b42ca6f1dbaf586046e59efd9e4
2015-12-31,2015-12-18,2015-12-22,2015-12-17,0.34233,USD,4,recurring,0.923736,0.34233,QQQ,E33c8987818c29638353a49eb117718b131c22851b4673f481f5e53a999a1052b
2016-04-29,2016-03-18,2016-03-22,2016-03-17,0.3178,USD,4,recurring,0.92656,0.3178,QQQ,Eaf34f1b76899917374b6af560b6afda95aa477e28caf1e624c5a10a66d1594f7
2016-07-29,2016-06-17,2016-06-21,2016-06-16,0.28665,USD,4,recurring,0.929307,0.28665,QQQ,E3005e016f9485906c57418026de118350e87932daded4cdeff815ee6c7851ad7
2016-10-31,2016-09-16,2016-09-20,2016-09-15,0.29387,USD,4,recurring,0.931779,0.29387,QQQ,E08598b5f5b82534ff30658bb928668aaf0d77a410e94a4c70f5a32f337c285be
2016-12-30,2016-12-16,2016-12-20,2016-12-15,0.35494,USD,4,recurring,0.934112,0.35494,QQQ,Ed60298be2c8132bfc71648a7cb66f5d0e9808662c8a9659c1b0d10e049fda1ec
2017-04-28,2017-03-17,2017-03-21,,0.27415,USD,4,recurring,0.936874,0.27415,QQQ,E1c07916d5dba4aaecf7617806421af628e276521a0d7bee5e7490397ebd06e3c
