pay_date,ex_dividend_date,record_date,declaration_date,cash_amount,currency,frequency,distribution_type,historical_adjustment_factor,split_adjusted_cash_amount,ticker,id
2007-04-30,2007-03-16,2007-03-20,,0.55127,USD,4,unknown,0.69935,0.55127,SPY,E49e75fa6fe2d4be58076b2e19a7e77406adc1da5fbc48e4f83c265a18c8c03cf
2007-07-31,2007-06-15,2007-06-19,,0.6556,USD,4,unknown,0.702125,0.6556,SPY,Eb8392cd9c1e64ad3937135d256e8b200d0c68b2412ff55e99b4be17c5f458463
2007-10-31,2007-09-21,2007-09-25,,0.71872,USD,4,recurring,0.705148,0.71872,SPY,E52cf3454048b0e622bfa5712632678eaf8098866ab74efb0e5f5069a7a231dc7
2008-01-31,2007-12-21,2007-12-26,,0.77541,USD,4,unknown,0.708492,0.77541,SPY,Ec685966e354dc221c4f9dd8a62a1bc784d760c425cc79079603eaa501c68433a
2008-04-30,2008-03-20,2008-03-25,,0.64195,USD,4,unknown,0.712254,0.64195,SPY,E64c1a44f666e29a788942aeeedf8d24f1e5d3dd7809e178f6693d066b3cfba02
2008-07-31,2008-06-20,2008-06-24,,0.66922,USD,4,unknown,0.71578,0.66922,SPY,Edbf36fc75ccff14ad0ba93d513544bc8c57a0524c2497a6714dcb759e2a80a94
2008-10-31,2008-09-19,2008-09-23,,0.69092,USD,4,unknown,0.719362,0.69092,SPY,Ed98538a359976be46f88a509f70132ed23d4d50b59b615997af86f3ca5b718f1
2009-01-30,2008-12-19,2008-12-23,,0.71934,USD,4,unknown,0.723525,0.71934,SPY,Ef6d04b7cb1b8f4c0ec95fb003d4191dbdc757672c8aaac89544cf22a02662b1b
2009-04-30,2009-03-20,2009-03-24,,0.56143,USD,4,unknown,0.729401,0.56143,SPY,E0cda085a918efb09319ad7d0b85346da369f245c5ac8bc3b5fa1b5848305c59e
2009-07-31,2009-06-19,2009-06-23,,0.51819,USD,4,unknown,0.734627,0.51819,SPY,Ee733010ce57d3085fd3a937258c32d31c93d08c945404230698862a37b95179f
2009-10-30,2009-09-18,2009-09-22,,0.50833,USD,4,unknown,0.738778,0.50833,SPY,Eb4bf9478576ab4a79a2b1d0ae20fca78bdfcd79e669349056d30d13478ad5472
2010-01-29,2009-12-18,2009-12-22,,0.59019,USD,4,unknown,0.742299,0.59019,SPY,Eb08cae48e977eac999c855a0122ad3592f65e07a1560041cf540752b33d861b3
2010-04-30,2010-03-19,2010-03-23,,0.48038,USD,4,unknown,0.746297,0.48038,SPY,Eb44552c83f4421cff72d1e2e6742c09114706650f2a0ffb008ef14e51a76eff1
2010-07-30,2010-06-18,2010-06-22,,0.53128,USD,4,unknown,0.749373,0.53128,SPY,E7e26552c0bb2ffd39e6f624c30bf2081e2411780508c22d208ca5a27dca7b257
2010-10-29,2010-09-17,2010-09-21,,0.60213,USD,4,unknown,0.75294,0.60213,SPY,E3e76251e3eb1d4b0f96965c727f2ac8de0b3542c0561bac22da723525ad9579d
2011-01-31,2010-12-17,2010-12-21,,0.65276,USD,4,unknown,0.756972,0.65276,SPY,E95b89e84b938d00d9ddaa6ac55dca673b5d7138c28dc826f90836b5772cb948d
2011-04-29,2011-03-18,2011-03-22,,0.55332,USD,4,unknown,0.760951,0.55332,SPY,E5c174fd849dcb2dc902a6992a6ab13ad8f2d7b5e7d21c4cf825d4a062d5d5f06
2011-07-29,2011-06-17,2011-06-21,,0.62762,USD,4,unknown,0.764259,0.62762,SPY,Eafabfe4cdc22ccc71a5302f13e5d2d4125240e0faf4cfa44e633c3986a8c0a0d
2011-10-31,2011-09-16,2011-09-20,,0.62495,USD,4,unknown,0.768045,0.62495,SPY,E9125f5fcf49fb2b15bf5e3ba161c6041ec4280e05dcf00775c9addce6a55a2fc
2012-01-31,2011-12-16,2011-12-20,,0.77013,USD,4,unknown,0.772019,0.77013,SPY,E21790cf85b92ba7e02797e099d9afebaba04de800f3ea8bb3dd033780033ecdb
